longitude,latitude,elevation,quality
0,-90,-2000.0,4
0,-80,-2000.0,4
0,-70,-2000.0,1
0,-60,-2000.0,2
0,-50,-2000.0,4
0,-40,-2000.0,3
0,-30,-2000.0,1
0,-20,-2000.0,4
0,-10,-2000.0,2
0,0,-2000.0,3
0,10,-2000.0,3
0,20,-2000.0,3
0,30,-2000.0,3
0,40,-2000.0,3
0,50,-2000.0,1
0,60,-2000.0,1
0,70,-2000.0,4
0,80,-2000.0,2
0,90,-2000.0,1
10,-90,-2000.0,3
10,-80,-1969.8463103929541,2
10,-70,-1940.6088253861153,3
10,-60,-1913.175911166535,3
10,-50,-1888.3811029510503,1
10,-40,-1866.977778440511,2
10,-30,-1849.6162668195648,3
10,-20,-1836.824088833465,4
10,-10,-1828.9899283371656,4
10,0,-1826.3518223330698,3
10,10,-1828.9899283371656,3
10,20,-1836.824088833465,1
10,30,-1849.6162668195648,1
10,40,-1866.977778440511,4
10,50,-1888.3811029510503,3
10,60,-1913.175911166535,3
10,70,-1940.6088253861153,2
10,80,-1969.8463103929541,3
10,90,-2000.0,2
20,-90,-2000.0,4
20,-80,-1940.6088253861153,1
20,-70,-1883.022221559489,4
20,-60,-1828.9899283371656,3
20,-50,-1780.1536896070459,2
20,-40,-1737.997369770615,4
20,-30,-1703.801867273976,4
20,-20,-1678.6061951567303,2
20,-10,-1663.175911166535,2
20,0,-1657.9798566743314,2
20,10,-1663.175911166535,3
20,20,-1678.6061951567303,3
20,30,-1703.801867273976,1
20,40,-1737.997369770615,1
20,50,-1780.1536896070459,1
20,60,-1828.9899283371656,3
20,70,-1883.022221559489,3
20,80,-1940.6088253861153,4
20,90,-2000.0,1
30,-90,-2000.0,2
30,-80,-1913.175911166535,4
30,-70,-1828.9899283371656,4
30,-60,-1750.0,1
30,-50,-1678.6061951567303,4
30,-40,-1616.977778440511,4
30,-30,-1566.9872981077806,2
30,-20,-1530.1536896070459,2
30,-10,-1507.5961234938961,4
30,0,-1500.0,1
30,10,-1507.5961234938961,4
30,20,-1530.1536896070459,2
30,30,-1566.9872981077806,1
30,40,-1616.977778440511,2
30,50,-1678.6061951567303,4
30,60,-1750.0,3
30,70,-1828.9899283371656,4
30,80,-1913.175911166535,1
30,90,-2000.0,2
40,-90,-2000.0,3
40,-80,-1888.3811029510503,4
40,-70,-1780.1536896070459,1
40,-60,-1678.6061951567303,1
40,-50,-1586.8240888334653,1
40,-40,-1507.5961234938961,1
40,-30,-1443.3296007735808,1
40,-20,-1395.9772264449464,2
40,-10,-1366.977778440511,3
40,0,-1357.2123903134607,2
40,10,-1366.977778440511,3
40,20,-1395.9772264449464,3
40,30,-1443.3296007735808,3
40,40,-1507.5961234938961,2
40,50,-1586.8240888334653,2
40,60,-1678.6061951567303,4
40,70,-1780.1536896070459,4
40,80,-1888.3811029510503,1
40,90,-2000.0,1
50,-90,-2000.0,3
50,-80,-1866.977778440511,2
50,-70,-1737.997369770615,3
50,-60,-1616.977778440511,4
50,-50,-1507.596123493896,2
50,-40,-1413.1759111665347,1
50,-30,-1336.5860518310615,3
50,-20,-1280.1536896070456,1
50,-10,-1245.593493264511,4
50,0,-1233.955556881022,3
50,10,-1245.593493264511,4
50,20,-1280.1536896070456,1
50,30,-1336.5860518310615,3
50,40,-1413.1759111665347,1
50,50,-1507.596123493896,1
50,60,-1616.977778440511,3
50,70,-1737.997369770615,4
50,80,-1866.977778440511,3
50,90,-2000.0,3
60,-90,-2000.0,1
60,-80,-1849.6162668195648,3
60,-70,-1703.801867273976,3
60,-60,-1566.9872981077806,3
60,-50,-1443.3296007735808,4
60,-40,-1336.5860518310617,1
60,-30,-1250.0,4
60,-20,-1186.2023186506262,2
60,-10,-1147.1314680475568,3
60,0,-1133.9745962155614,3
60,10,-1147.1314680475568,2
60,20,-1186.2023186506262,1
60,30,-1250.0,2
60,40,-1336.5860518310617,3
60,50,-1443.3296007735808,3
60,60,-1566.9872981077806,3
60,70,-1703.801867273976,2
60,80,-1849.6162668195648,3
60,90,-2000.0,3
70,-90,-2000.0,3
70,-80,-1836.824088833465,1
70,-70,-1678.6061951567303,3
70,-60,-1530.1536896070456,2
70,-50,-1395.9772264449464,2
70,-40,-1280.1536896070459,3
70,-30,-1186.2023186506262,3
70,-20,-1116.977778440511,4
70,-10,-1074.583421601677,3
70,0,-1060.3073792140917,1
70,10,-1074.583421601677,3
70,20,-1116.977778440511,4
70,30,-1186.2023186506262,2
70,40,-1280.1536896070459,4
70,50,-1395.9772264449464,1
70,60,-1530.1536896070456,4
70,70,-1678.6061951567303,4
70,80,-1836.824088833465,2
70,90,-2000.0,1
80,-90,-2000.0,2
80,-80,-1828.9899283371656,3
80,-70,-1663.1759111665347,2
80,-60,-1507.596123493896,4
80,-50,-1366.977778440511,2
80,-40,-1245.5934932645112,1
80,-30,-1147.1314680475568,4
80,-20,-1074.5834216016767,4
80,-10,-1030.153689607046,4
80,0,-1015.192246987792,2
80,10,-1030.153689607046,3
80,20,-1074.5834216016767,4
80,30,-1147.1314680475568,2
80,40,-1245.5934932645112,2
80,50,-1366.977778440511,2
80,60,-1507.596123493896,4
80,70,-1663.1759111665347,2
80,80,-1828.9899283371656,3
80,90,-2000.0,2
90,-90,-2000.0,2
90,-80,-1826.3518223330695,2
90,-70,-1657.9798566743311,1
90,-60,-1500.0,2
90,-50,-1357.2123903134607,1
90,-40,-1233.955556881022,2
90,-30,-1133.9745962155612,4
90,-20,-1060.3073792140917,3
90,-10,-1015.192246987792,2
90,0,-1000.0,1
90,10,-1015.192246987792,4
90,20,-1060.3073792140917,2
90,30,-1133.9745962155612,3
90,40,-1233.955556881022,3
90,50,-1357.2123903134607,4
90,60,-1500.0,4
90,70,-1657.9798566743311,4
90,80,-1826.3518223330695,1
90,90,-2000.0,3
100,-90,-2000.0,3
100,-80,-1828.9899283371656,4
100,-70,-1663.1759111665347,4
100,-60,-1507.596123493896,2
